game_id	"	"	inning_id	"	"	event_id	"	"	team_text	"	"	score	"	"	opponent_text
3300438	#	7	#	125	#		#		#	Fraley grounded out to 1b unassisted (0-0); Zardon advanced to second; Scivicque advanced to third.
3300438	#	7	#	126	#		#		#	Chinea struck out swinging (1-2).
3300438	#	7	#	127	#	R: 1 H: 2 E: 0 LOB: 1	#	3-17	#	R: 0 H: 2 E: 0 LOB: 2
3300438	#	8	#	128	#	Domangue to p for McCune.	#		#	
3300438	#	8	#	129	#	D. Garner pinch hit for M. Britton.	#		#	
3300438	#	8	#	130	#	D. Garner fouled out to 1b (0-1).	#		#	
3300438	#	8	#	131	#	R. Humphreys pinch hit for Brett Pirtle.	#		#	
3300438	#	8	#	132	#	R. Humphreys grounded out to 3b (2-2).	#		#	
3300438	#	8	#	133	#	D. Armstrong singled up the middle (1-0).	#		#	
3300438	#	8	#	134	#	D. Armstrong advanced to second.	#		#	
3300438	#	8	#	135	#	D. Armstrong advanced to third on a wild pitch.	#		#	
3300438	#	8	#	136	#	C. Bradford doubled to left center, RBI (2-1); D. Armstrong scored.	#	4-17	#	
3300438	#	8	#	137	#	J. Vickerson flied out to lf (2-2).	#		#	
3300438	#	8	#	138	#	R: 1 H: 2 E: 0 LOB: 1	#	4-17	#	
3379525	#	0	#	0	#	Bamford flied out to cf (0-0).	#		#	
3379525	#	0	#	1	#	Wilgus, S. walked (3-2 BBKBFB).	#		#	
3379525	#	0	#	2	#	Gronsky grounded into double play 2b to ss to 1b (1-1 BK); Wilgus, S. out on the play.	#		#	
3379525	#	0	#	3	#		#		#	Torralba walked (3-2 BFBFFBFB).
3379525	#	0	#	4	#		#		#	Kelso grounded out to 2b (3-1 BFBB); Torralba advanced to second.
3379525	#	0	#	5	#		#		#	Torralba stole third.
3379525	#	0	#	6	#		#	0-1	#	Luppens reached on a fielding error by 3b, RBI (3-1 BSBB); Torralba scored.
3379525	#	0	#	7	#		#		#	Siddall singled to left field (0-0); Luppens advanced to second.
3379525	#	0	#	8	#		#		#	Panas struck out swinging (1-2 KBKFS).
3379525	#	0	#	9	#		#		#	Zimmer walked (3-1 BFBBB); Siddall advanced to second; Luppens advanced to third.
3379525	#	0	#	10	#		#		#	Lumley flied out to cf (1-2 KKB).
3379525	#	0	#	11	#	R: 0 H: 0 E: 0 LOB: 0	#	0-1	#	R: 1 H: 1 E: 1 LOB: 3
3379525	#	1	#	12	#	Avella grounded out to 2b (3-1 BBKB).	#		#	
3379525	#	1	#	13	#	Jacobson, C. walked (3-0 BBBB).	#		#	
3379525	#	1	#	14	#	Lamberton grounded into double play 2b to ss to 1b (2-0 BB); Jacobson, C. out on the play.	#		#	
3379525	#	1	#	15	#		#		#	Krische singled to right center (0-0).
3379525	#	1	#	16	#		#		#	Krische stole second.
3379525	#	1	#	17	#		#		#	Krische out at third c to 3b, caught stealing.
3379525	#	1	#	18	#		#		#	Bernick walked (3-2 BBBKKFB).
3379525	#	1	#	19	#		#		#	Bernick advanced to second on a wild pitch.
3379525	#	1	#	20	#		#		#	Torralba struck out swinging (1-2 KBFS).
3379525	#	1	#	21	#		#	0-2	#	Kelso tripled down the rf line, RBI (2-2 KBKB); Bernick scored.
3379525	#	1	#	22	#		#		#	Luppens struck out swinging (2-2 BKFBFS).
3379525	#	1	#	23	#	R: 0 H: 0 E: 0 LOB: 0	#	0-2	#	R: 1 H: 2 E: 0 LOB: 1
3379525	#	2	#	24	#	Guida hit by pitch (0-1 K).	#		#	
3379525	#	2	#	25	#	Moreno, D. doubled to left center (0-0); Guida advanced to third.	#		#	
3379525	#	2	#	26	#	Gaetano, C. grounded out to 3b (1-2 FKB).	#		#	
3379525	#	2	#	27	#	Bamford lined out to cf, SF, RBI (1-0 B); Guida scored.	#	1-2	#	
3379525	#	2	#	28	#	Wilgus, S. grounded out to 1b unassisted (2-2 KBBFF).	#		#	
3379525	#	2	#	29	#		#		#	Siddall flied out to lf (2-2 KKBB).
3379525	#	2	#	30	#		#		#	Panas hit by pitch (2-2 SBBKF).
3379525	#	2	#	31	#		#		#	Zimmer hit by pitch (0-0); Panas advanced to second.
3379525	#	2	#	32	#		#	1-5	#	Lumley homered to right field, 3 RBI (2-2 FBBKF); Zimmer scored; Panas scored.
3379525	#	2	#	33	#		#		#	Krische struck out looking (2-2 BBKFFK).
3379525	#	2	#	34	#		#		#	Bernick singled to catcher (1-2 BKS).
3379525	#	2	#	35	#		#		#	Torralba reached on a fielder's choice (1-0 B); Bernick out at second ss to 2b.
3379525	#	2	#	36	#	R: 1 H: 1 E: 0 LOB: 1	#	1-5	#	R: 3 H: 2 E: 0 LOB: 1
3379525	#	3	#	37	#	Gronsky singled through the right side (1-0 B).	#		#	
3379525	#	3	#	38	#	Avella singled to first base (3-2 BBBKF); Gronsky advanced to second.	#		#	
3379525	#	3	#	39	#	Tolsma to p for Trumpler.	#		#	
3379525	#	3	#	40	#	Jacobson, C. fouled out to c (0-1 K).	#		#	
3379525	#	3	#	41	#	Lamberton struck out swinging (1-2 KBFS); Avella stole second; Gronsky stole third.	#		#	
3379525	#	3	#	42	#	Guida lined out to ss (1-0 B).	#		#	
3379525	#	3	#	43	#		#		#	Hunt, T. to p for Ciavarella.
3379525	#	3	#	44	#		#	1-6	#	Kelso homered to right field, RBI (2-1 BBK).
3379525	#	3	#	45	#		#		#	Luppens grounded out to ss (0-2 KS).
3379525	#	3	#	46	#		#		#	Siddall grounded out to 1b unassisted (0-1 K).
3379525	#	3	#	47	#		#		#	Panas lined out to 2b (0-1 S).
3379525	#	3	#	48	#	R: 0 H: 2 E: 0 LOB: 2	#	1-6	#	R: 1 H: 1 E: 0 LOB: 0
3379525	#	4	#	49	#	Moreno, D. grounded out to 2b (0-1 K).	#		#	
3379525	#	4	#	50	#	Gaetano, C. reached on a throwing error by ss (0-0).	#		#	
3379525	#	4	#	51	#	Bamford singled through the right side (2-2 KBBF); Gaetano, C. advanced to second.	#		#	
3379525	#	4	#	52	#	Wilgus, S. infield fly to ss (0-1 K).	#		#	
3379525	#	4	#	53	#	Gronsky grounded out to p (1-0 B).	#		#	
3379525	#	4	#	54	#		#		#	Zimmer walked (3-2 KKBBBB).
3379525	#	4	#	55	#		#		#	Coppinger pinch ran for Zimmer.
3379525	#	4	#	56	#		#		#	Lumley singled through the right side (2-0 BB); Coppinger advanced to second.
3379525	#	4	#	57	#		#		#	Lumley advanced to second; Coppinger advanced to third on a wild pitch.
3379525	#	4	#	58	#		#		#	Krische walked (3-1 BSBBB).
3379525	#	4	#	59	#		#	1-7	#	Bernick hit by pitch, RBI (1-0 B); Krische advanced to second; Lumley advanced to third; Coppinger scored.
3379525	#	4	#	60	#		#	1-8	#	Torralba singled to right field, RBI (2-2 KFBBFF); Bernick advanced to second; Krische advanced to third; Lumley scored.
3379525	#	4	#	61	#		#		#	Kelso struck out swinging (0-2 KKS).
3379525	#	4	#	62	#		#		#	Luppens fouled out to 1b (2-0 BB).
3379525	#	4	#	63	#		#	1-10	#	Siddall singled to right field, 2 RBI (1-2 SFB); Torralba advanced to second; Bernick scored; Krische scored.
3379525	#	4	#	64	#		#		#	Siddall advanced to second; Torralba advanced to third on a wild pitch.
3379525	#	4	#	65	#		#	1-12	#	Panas singled to center field, 2 RBI (3-1 KBBB); Siddall scored; Torralba scored.
3379525	#	4	#	66	#		#		#	Coppinger to rf.
3379525	#	4	#	67	#		#		#	Coppinger grounded out to p (0-1 K).
3379525	#	4	#	68	#	R: 0 H: 1 E: 1 LOB: 2	#	1-12	#	R: 6 H: 4 E: 0 LOB: 1
3379525	#	5	#	69	#	Avella walked (3-2 KBKBFFBFB).	#		#	
3379525	#	5	#	70	#	Jacobson, C. fouled out to p (0-2 KFF).	#		#	
3379525	#	5	#	71	#	Lamberton grounded into double play 1b to ss to 1b (1-0 B); Avella out on the play.	#		#	
3379525	#	5	#	72	#		#		#	Frey to p for Hunt, T..
3379525	#	5	#	73	#		#		#	Lumley grounded out to 2b (2-2 FBBF).
3379525	#	5	#	74	#		#		#	Krische popped up to 2b (2-2 KKBB).
3379525	#	5	#	75	#		#		#	Bernick walked (3-2 FKBFBBB).
3379525	#	5	#	76	#		#		#	Torralba singled to right field (0-0); Bernick advanced to second.
3379525	#	5	#	77	#		#		#	Kelso grounded out to 2b (3-2 KBBKB).
3379525	#	5	#	78	#	R: 0 H: 0 E: 0 LOB: 0	#	1-12	#	R: 0 H: 1 E: 0 LOB: 2
3379525	#	6	#	79	#	Soucie to p for Tolsma.	#		#	
3379525	#	6	#	80	#	Puscheck to 3b for Panas.	#		#	
3379525	#	6	#	81	#	Guida struck out looking (0-2 KFK).	#		#	
3379525	#	6	#	82	#	Moreno, D. struck out swinging (1-2 KSFBS).	#		#	
3379525	#	6	#	83	#	Gaetano, C. walked (3-1 BFBBB).	#		#	
3379525	#	6	#	84	#	Holland, C. pinch hit for Bamford.	#		#	
3379525	#	6	#	85	#	Holland, C. walked (3-1 BBFBB); Gaetano, C. advanced to second.	#		#	
3379525	#	6	#	86	#	Wilgus, S. singled through the right side (1-2 KKFB); Holland, C. advanced to second; Gaetano, C. advanced to third.	#		#	
3379525	#	6	#	87	#	Gronsky reached on a fielding error by 1b (0-2 KF); Wilgus, S. advanced to third; Holland, C. scored, unearned; Gaetano, C. scored, unearned.	#	3-12	#	
